vehicle,seq,node_idx
10,0,0
10,1,90
10,2,87
10,3,86
10,4,83
10,5,82
10,6,84
10,7,85
10,8,88
10,9,89
10,10,91
10,11,0
11,0,0
11,1,43
11,2,42
11,3,41
11,4,40
11,5,44
11,6,45
11,7,46
11,8,48
11,9,51
11,10,50
11,11,52
11,12,49
11,13,47
11,14,0
12,0,0
12,1,32
12,2,33
12,3,31
12,4,35
12,5,37
12,6,38
12,7,39
12,8,36
12,9,34
12,10,0
13,0,0
13,1,81
13,2,78
13,3,76
13,4,71
13,5,70
13,6,73
13,7,77
13,8,79
13,9,80
13,10,0
14,0,0
14,1,20
14,2,24
14,3,25
14,4,27
14,5,29
14,6,30
14,7,28
14,8,26
14,9,23
14,10,22
14,11,21
14,12,0
16,0,0
16,1,98
16,2,96
16,3,95
16,4,94
16,5,92
16,6,93
16,7,97
16,8,100
16,9,99
16,10,0
18,0,0
18,1,57
18,2,55
18,3,54
18,4,53
18,5,56
18,6,58
18,7,60
18,8,59
18,9,0
19,0,0
19,1,13
19,2,17
19,3,18
19,4,19
19,5,15
19,6,16
19,7,14
19,8,12
19,9,0
21,0,0
21,1,5
21,2,3
21,3,7
21,4,8
21,5,10
21,6,11
21,7,9
21,8,6
21,9,4
21,10,2
21,11,1
21,12,75
21,13,0
23,0,0
23,1,67
23,2,65
23,3,63
23,4,62
23,5,74
23,6,72
23,7,61
23,8,64
23,9,68
23,10,66
23,11,69
23,12,0
