vehicle,seq,node_idx
1,0,0
1,1,81
1,2,78
1,3,76
1,4,71
1,5,70
1,6,73
1,7,77
1,8,79
1,9,80
1,10,0
2,0,0
2,1,57
2,2,55
2,3,54
2,4,53
2,5,56
2,6,58
2,7,60
2,8,59
2,9,0
3,0,0
3,1,98
3,2,96
3,3,95
3,4,94
3,5,92
3,6,93
3,7,97
3,8,100
3,9,99
3,10,0
4,0,0
4,1,32
4,2,33
4,3,31
4,4,35
4,5,37
4,6,38
4,7,39
4,8,36
4,9,34
4,10,0
6,0,0
6,1,43
6,2,42
6,3,41
6,4,40
6,5,44
6,6,46
6,7,45
6,8,48
6,9,51
6,10,50
6,11,52
6,12,49
6,13,47
6,14,0
7,0,0
7,1,67
7,2,65
7,3,63
7,4,62
7,5,74
7,6,72
7,7,61
7,8,64
7,9,68
7,10,66
7,11,69
7,12,0
8,0,0
8,1,13
8,2,17
8,3,18
8,4,19
8,5,15
8,6,16
8,7,14
8,8,12
8,9,0
9,0,0
9,1,90
9,2,87
9,3,86
9,4,83
9,5,82
9,6,84
9,7,85
9,8,88
9,9,89
9,10,91
9,11,0
10,0,0
10,1,20
10,2,24
10,3,25
10,4,27
10,5,29
10,6,30
10,7,28
10,8,26
10,9,23
10,10,22
10,11,21
10,12,0
11,0,0
11,1,5
11,2,3
11,3,7
11,4,8
11,5,10
11,6,11
11,7,9
11,8,6
11,9,4
11,10,2
11,11,1
11,12,75
11,13,0
