vehicle,seq,node_idx
1,0,0
1,1,22
1,2,27
1,3,30
1,4,6
1,5,32
1,6,33
1,7,34
1,8,29
1,9,24
1,10,20
1,11,0
2,0,0
2,1,93
2,2,5
2,3,75
2,4,2
2,5,13
2,6,9
2,7,11
2,8,10
2,9,8
2,10,0
3,0,0
3,1,96
3,2,85
3,3,76
3,4,71
3,5,70
3,6,73
3,7,80
3,8,79
3,9,81
3,10,78
3,11,77
3,12,90
3,13,0
4,0,0
4,1,67
4,2,63
4,3,62
4,4,74
4,5,72
4,6,61
4,7,64
4,8,66
4,9,69
4,10,0
5,0,0
5,1,12
5,2,14
5,3,16
5,4,15
5,5,19
5,6,17
5,7,18
5,8,25
5,9,0
6,0,0
6,1,1
6,2,99
6,3,100
6,4,97
6,5,92
6,6,94
6,7,95
6,8,98
6,9,7
6,10,3
6,11,4
6,12,89
6,13,0
7,0,0
7,1,68
7,2,65
7,3,49
7,4,55
7,5,54
7,6,53
7,7,56
7,8,58
7,9,60
7,10,59
7,11,41
7,12,0
10,0,0
10,1,91
10,2,88
10,3,84
10,4,82
10,5,83
10,6,86
10,7,87
10,8,0
20,0,0
20,1,52
20,2,50
20,3,51
20,4,31
20,5,35
20,6,37
20,7,38
20,8,39
20,9,36
20,10,28
20,11,26
20,12,23
20,13,21
20,14,0
22,0,0
22,1,47
22,2,46
22,3,40
22,4,57
22,5,44
22,6,45
22,7,42
22,8,43
22,9,48
22,10,0
